,Title,Ratings,Ranked,Popularity,Name,Gender,Image,Character1
21,Abyss,7.8, #1567, #96,Ahn Hyo Seop, Male,https://i.mydramalist.com/qw772c.jpg,Go Se Yeon | Lee Mi Do
22,All About My Romance,7.6, #2664, #1380,Lee Min Jung, Female,https://i.mydramalist.com/EyBxb_5c.jpg,Noh Min Yeong
23,All About My Romance,7.6, #2664, #1380,Shin Ha Kyun, Male,https://i.mydramalist.com/EN4dp_5c.jpg,Kim Soo Yeong
24,Angel Eyes,7.5, #2941, #309,Lee Sang Yoon, Male,https://i.mydramalist.com/q8Zn8c.jpg,Yoon Soo Wan
25,Angel Eyes,7.5, #2941, #309,Gu Hye Seon, Female,https://i.mydramalist.com/EoYx5_5c.jpg,Dylan Park / Park Dong Joo
26,Angel's Last Mission: Love,8.5, #252, #93,Kim Myung Soo, Male,https://i.mydramalist.com/qw1k8c.jpg,Kim Dan / Yoo Sung Woo
27,Angel's Last Mission: Love,8.5, #252, #93,Shin Hye Sun, Female,https://i.mydramalist.com/q5VbB_5c.jpg,Lee Yeon Seo | Choi Sul Hee
28,Another Miss Oh,8.3, #460, #94,Eric Mun, Male,https://i.mydramalist.com/5y5Jyc.jpg,Park Do Kyung
29,Another Miss Oh,8.3, #460, #94,Seo Hyun Jin, Female,https://i.mydramalist.com/RkJVxc.jpg,Oh Hae Young #1
30,Arang and the Magistrate,7.9, #1207, #197,Shin Min Ah, Female,https://i.mydramalist.com/Q71NAc.jpg,Ah Rang / Lee Seo Rim
31,Arang and the Magistrate,7.9, #1207, #197,Lee Joon Gi, Male,https://i.mydramalist.com/67r8d_5c.jpg,Kim Eun Oh
32,Are You Human Too?,8.3, #342, #71,Seo Kang Joon, Male,https://i.mydramalist.com/rbPe2c.jpg,Nam Shin / Android Nam Shin III
33,Are You Human Too?,8.3, #342, #71,Gong Seung Yeon, Female,https://i.mydramalist.com/jYwqJ_5c.jpg,Kang So Bong
34,Arthdal Chronicles Part 1: The Children of Prophecy,8.5, #239, #292,Song Joong Ki, Male,https://i.mydramalist.com/1kymd_5c.jpg,Eun Seom
35,Arthdal Chronicles Part 1: The Children of Prophecy,8.5, #239, #292,Kim Ji Won, Female,https://i.mydramalist.com/vqA4Bc.jpg,Tan Ya
36,Arthdal Chronicles Part 3: The Prelude To All Legends,8.6, #99, #579,Song Joong Ki, Male,https://i.mydramalist.com/1kymd_5c.jpg,Eun Seom | Sa Ya
37,Arthdal Chronicles Part 3: The Prelude To All Legends,8.6, #99, #579,Kim Ji Won, Female,https://i.mydramalist.com/vqA4Bc.jpg,Tan Ya
38,Baby-faced Beauty,7.1, #4167, #707,Jang Na Ra, Female,https://i.mydramalist.com/ZrBJkc.jpg,Choi Jin Wook
39,Baby-faced Beauty,7.1, #4167, #707,Choi Daniel, Male,https://i.mydramalist.com/xg8WXc.jpg,Lee So Young
40,Backstreet Rookie,7.7, #1919, #264,Kim Yoo Jung, Female,https://i.mydramalist.com/JxKJYc.jpg,Jung Saet Byul
41,Backstreet Rookie,7.7, #1919, #264,Ji Chang Wook, Male,https://i.mydramalist.com/jAOovc.jpg,Choi Dae Hyun
42,Bad Guy,7.7, #2214, #785,Kim Nam Gil, Male,https://i.mydramalist.com/RJLdgc.jpg,Shim Gun Wook
43,Bad Guy,7.7, #2214, #785,Oh Yeon Soo, Female,https://i.mydramalist.com/18QO5_5c.jpg,Hong Tae Ra
44,Beautiful Gong Shim,7.8, #1596, #193,Namgoong Min, Male,https://i.mydramalist.com/kEQyOc.jpg,Ahn Dan Tae / Suk Joon Pyo
45,Beautiful Gong Shim,7.8, #1596, #193,Bang Min Ah, Female,https://i.mydramalist.com/XboRwc.jpg,Gong Shim
46,Because It's The First Time,7.6, #499, Not Yet Rated,Park So Dam, Female,https://i.mydramalist.com/1qm06c.jpg,Han Song Yi
47,Because It's The First Time,7.6, #499, Not Yet Rated,Choi Min Ho, Male,https://i.mydramalist.com/XbLZnc.jpg,Yoon Tae Oh
48,Because This is My First Life,8.6, #146, #39,Jung So Min, Female,https://i.mydramalist.com/dY80Kc.jpg,Nam Se Hee
49,Because This is My First Life,8.6, #146, #39,Lee Min Ki, Male,https://i.mydramalist.com/wE3Qp_5c.jpg,Yoon Ji Ho
50,Bel Ami,6.7, #4596, #293,Jang Geun Suk, Male,https://i.mydramalist.com/rbpd2c.jpg,Dok Go Ma Te
51,Bel Ami,6.7, #4596, #293,IU, Female,https://i.mydramalist.com/qRVoD_5c.jpg,Kim Bo Tong
52,Best Mistake,7.8, #1506, #1085,Kang Yul, Male,https://i.mydramalist.com/vqBQ2c.jpg,Ji Hyun Ho
53,Best Mistake,7.8, #1506, #1085,Lee Eun Jae, Female,https://i.mydramalist.com/jXkjwc.jpg,Kim Yeon Doo
54,Best Wedding,7.2, #4005, #1047,Park Shi Yeon, Female,https://i.mydramalist.com/81jbAc.jpg,Jo Eun Cha
55,Best Wedding,7.2, #4005, #1047,Bae Soo Bin, Male,https://i.mydramalist.com/X3jAJc.jpg,Cha Gi Yeong
56,Big,7.0, #4254, #146,Lee Min Jung, Female,https://i.mydramalist.com/EyBxb_5c.jpg,Gil Da Ran
57,Big,7.0, #4254, #146,Gong Yoo, Male,https://i.mydramalist.com/XKLRxc.jpg,Seo Yoon Jae / Kang Kyung Joon
58,Birth of a Beauty,7.5, #2900, #188,Joo Sang Wook, Male,https://i.mydramalist.com/1gJlzc.jpg,Han Tae Hee
59,Birth of a Beauty,7.5, #2900, #188,Han Ye Seul, Female,https://i.mydramalist.com/jZQdJ_5c.jpg,Sa Ra / Sa Geum Ran
60,Black,8.1, #747, #128,Go Ah Ra, Female,https://i.mydramalist.com/ejKbK_5c.jpg,Kang Ha Ram
61,Black,8.1, #747, #128,Song Seung Heon, Male,https://i.mydramalist.com/vqlqec.jpg,Han Moo Gang / Grim Reaper Black
62,Black Knight: The Man Who Guards Me,7.2, #3989, #663,Shin Se Kyung, Female,https://i.mydramalist.com/ZQkkj_5c.jpg,Jung Hae Ra / Boon Yi
63,Black Knight: The Man Who Guards Me,7.2, #3989, #663,Kim Rae Won, Male,https://i.mydramalist.com/vEpkg_5c.jpg,Moon Soo Ho / Lee Myung So
64,Blood,7.4, #3248, #100,Gu Hye Seon, Female,https://i.mydramalist.com/EoYx5_5c.jpg,Yoo Ri Ta
65,Blood,7.4, #3248, #100,Ahn Jae Hyun, Male,https://i.mydramalist.com/dJjDW_5c.jpg,Park Ji Sang
66,Born Again,7.2, #4008, #776,Jang Ki Yong, Male,https://i.mydramalist.com/XyzbZ_5c.jpg,Chun Jong Bum | Gong Ji Chul [1980s]
67,Born Again,7.2, #4008, #776,Jin Se Yeon, Female,https://i.mydramalist.com/vzjEW_5c.jpg,Jung Sa Bin | Jung Ha Eun [1980s]
68,Bride of the Century,7.9, #1374, #218,Lee Hong Ki, Male,https://i.mydramalist.com/qw6Rzc.jpg,Na Doo Rim | Jang Yi Kyung | Soon Bok [Young] | Boon Ee
69,Bride of the Century,7.9, #1374, #218,Yang  Jin Sung, Female,https://i.mydramalist.com/ejX7Y_5c.jpg,Choi Kang Joo
70,"Bring It On, Ghost",8.2, #641, #65,Ok Taec Yeon, Male,https://i.mydramalist.com/Xb0ngc.jpg,Park Bong Pal
71,"Bring It On, Ghost",8.2, #641, #65,Kim So Hyun, Female,https://i.mydramalist.com/vdVeqc.jpg,Kim Hyun Ji
72,Can We Get Married?,7.1, #4094, #851,Jung So Min, Female,https://i.mydramalist.com/dY80Kc.jpg,Jung Hoon
73,Can We Get Married?,7.1, #4094, #851,Sung Joon, Male,https://i.mydramalist.com/Yy0xQc.jpg,Hye Yoon
74,Catch the Ghost,8.1, #759, #521,Moon Geun Young, Female,https://i.mydramalist.com/xYYlNc.jpg, Go Ji Suk
75,Catch the Ghost,8.1, #759, #521,Kim Seon Ho, Male,https://i.mydramalist.com/p3LJD_5c.jpg,Yoo Ryung | Yoo Jin
76,"Cheat On Me, If You Can",7.8, #1646, #1275,Go Joon, Male,https://i.mydramalist.com/EQ2EQ_5c.jpg,Kang Yeo Joo
77,"Cheat On Me, If You Can",7.8, #1646, #1275,Cho Yeo Jung, Female,https://i.mydramalist.com/WB68mc.jpg,Han Woo Sung
78,Cheese in the Trap,7.6, #2335, #24,Kim Go Eun, Female,https://i.mydramalist.com/rg14N_5c.jpg,Yoo Jung
79,Cheese in the Trap,7.6, #2335, #24,Park Hae Jin, Male,https://i.mydramalist.com/BwX6qc.jpg,Hong Seol
80,Cheongdamdong Alice,7.2, #3950, #386,Moon Geun Young, Female,https://i.mydramalist.com/xYYlNc.jpg,Cha Seung Jo
81,Cheongdamdong Alice,7.2, #3950, #386,Park Shi Hoo, Male,https://i.mydramalist.com/2DjjVc.jpg,Han Se Kyung
82,Chicago Typewriter,8.8, #49, #101,Im Soo Jung, Female,https://i.mydramalist.com/W3bXpc.jpg,Jun Seol | Ryu Soo Hyun
83,Chicago Typewriter,8.8, #49, #101,Yoo Ah In, Male,https://i.mydramalist.com/pO1V8c.jpg,Han Se Joo | Seo Hwi Young
84,Choco Bank,7.2, #3979, #797,Kai, Male,https://i.mydramalist.com/ArQkZc.jpg,Kim Eun Haeng
85,Choco Bank,7.2, #3979, #797,Park Eun Bin, Female,https://i.mydramalist.com/WAPAXc.jpg,Ha Cho Co
86,Chocolate,8.1, #756, #435,Ha Ji Won, Female,https://i.mydramalist.com/E2eb5c.jpg,Moon Cha Young
87,Chocolate,8.1, #756, #435,Yoon Kye Sang, Male,https://i.mydramalist.com/QNZo7c.jpg,Lee Kang
88,Chuno,8.0, #1013, #852,Jang Hyuk, Male,https://i.mydramalist.com/01XN7c.jpg,Lee Dae Gil
89,Chuno,8.0, #1013, #852,Lee Da Hae, Female,https://i.mydramalist.com/0AweOc.jpg,Un Nyun / Kim Hye Won
90,Cinderella and the Four Knights,7.8, #1637, #34,Jung Il Woo, Male,https://i.mydramalist.com/Bx8oAc.jpg,Eun Ha Won
91,Cinderella and the Four Knights,7.8, #1637, #34,Park So Dam, Female,https://i.mydramalist.com/1qm06c.jpg,Kang Ji Woon / Han Ji Woon
92,Cinderella's Sister,7.1, #4115, #431,Moon Geun Young, Female,https://i.mydramalist.com/xYYlNc.jpg,Hong Ki Hoon
93,Cinderella's Sister,7.1, #4115, #431,Chun Jung Myung, Male,https://i.mydramalist.com/08rD4_5c.jpg,Song Eun Ju
94,City Hunter,8.4, #301, #20,Park Min Young, Female,https://i.mydramalist.com/qlep0_5c.jpg,Kim Na Na
95,City Hunter,8.4, #301, #20,Lee Min Ho, Male,https://i.mydramalist.com/kEpQwc.jpg,"Lee Yoon Sung / ""Poochai"""
96,Clean With Passion For Now,7.8, #1804, #165,Kim Yoo Jung, Female,https://i.mydramalist.com/XzDjX_5c.jpg,Gil Oh Sol
97,Clean With Passion For Now,7.8, #1804, #165,Yoon Kyun Sang, Male,https://i.mydramalist.com/j30Wz_5c.jpg,Jang Sun Gyeol
98,Click Your Heart,7.2, #3871, #478,Mina, Female,https://i.mydramalist.com/dv07Kc.jpg,Baek Ju Ho
99,Click Your Heart,7.2, #3871, #478,Zu Ho, Male,https://i.mydramalist.com/XBAoq_5c.jpg,Kwon Mi Na
100,Coffee House,6.6, #4609, #985,Ham Eun Jung, Female,https://i.mydramalist.com/1ADrz_5c.jpg,Kang Seung Yeon
101,Coffee House,6.6, #4609, #985,Kang Ji Hwan, Male,https://i.mydramalist.com/j2rRbc.jpg,Lee Jin Soo
102,Come and Hug Me,8.4, #299, #147,Jang Ki Yong, Male,https://i.mydramalist.com/XyzbZ_5c.jpg,Chae Do Jin / Yoon Na Moo
103,Come and Hug Me,8.4, #299, #147,Jin Ki Joo, Female,https://i.mydramalist.com/r7XQ7_5c.jpg,Han Jae Yi / Gil Nak Won
104,Crash Landing on You,8.9, #24, #18,Hyun Bin, Male,https://i.mydramalist.com/qAkLdc.jpg,Ri Jung Hyuk
105,Crash Landing on You,8.9, #24, #18,Son Ye Jin, Female,https://i.mydramalist.com/vgnXX_5c.jpg,"Yoon Se Ri / ""Sam Suk"""
106,Cruel City,8.6, #125, #261,Nam Gyu Ri, Female,https://i.mydramalist.com/BZbnl_5c.jpg,Yoon Soo Min
107,Cruel City,8.6, #125, #261,Jung Kyung Ho, Male,https://i.mydramalist.com/EyqBz_5c.jpg,"""Doctor's Son"" / Jung Shi Hyun"
108,Cunning Single Lady,7.8, #1500, #195,Lee Min Jung, Female,https://i.mydramalist.com/EyBxb_5c.jpg,Cha Jung Woo
109,Cunning Single Lady,7.8, #1500, #195,Joo Sang Wook, Male,https://i.mydramalist.com/1gJlzc.jpg,Na Ae Ra
110,D-Day,8.3, #500, #341,Jung So Min, Female,https://i.mydramalist.com/dY80Kc.jpg,Dr. Jung Ddol Mi
111,D-Day,8.3, #500, #341,Kim Young Kwang, Male,https://i.mydramalist.com/QNxJQc.jpg,Dr. Lee Hae Sung
112,Dating Agency: Cyrano,7.4, #3403, #539,Choi Soo Young, Female,https://i.mydramalist.com/eW85d_5c.jpg,Seo Byung Hoon
113,Dating Agency: Cyrano,7.4, #3403, #539,Lee Jong Hyuk, Male,https://i.mydramalist.com/dv6NKc.jpg,Gong Min Young
114,Descendants of the Sun,8.7, #76, #3,Song Hye Kyo, Female,https://i.mydramalist.com/Qrn7v_5c.jpg,Dr. Kang Mo Yeon
115,Descendants of the Sun,8.7, #76, #3,Song Joong Ki, Male,https://i.mydramalist.com/1kymd_5c.jpg,Yoo Shi Jin
116,Devilish Joy,7.9, #1254, #332,Song  Ha Yoon, Female,https://i.mydramalist.com/pv0N8c.jpg,Joo Ki Beum
117,Devilish Joy,7.9, #1254, #332,Choi Jin Hyuk, Male,https://i.mydramalist.com/xYDEzc.jpg,Gong Ma Sung
118,Dinner Mate,7.9, #1242, #486,Song Seung Heon, Male,https://i.mydramalist.com/vqlqec.jpg,Kim Hae Kyung
119,Dinner Mate,7.9, #1242, #486,Seo Ji Hye, Female,https://i.mydramalist.com/XEdgpc.jpg,Woo Do Hee
120,Discovery of Romance,7.6, #2468, #502,Jung Yu Mi, Female,https://i.mydramalist.com/pRQxE_5c.jpg,Kang Tae Ha
121,Discovery of Romance,7.6, #2468, #502,Eric Mun, Male,https://i.mydramalist.com/5y5Jyc.jpg,Han Yeo Reum
122,Do Do Sol Sol La La Sol,7.7, #1843, #324,Go Ah Ra, Female,https://i.mydramalist.com/ejKbK_5c.jpg,Sun Woo Joon
123,Do Do Sol Sol La La Sol,7.7, #1843, #324,Lee Jae Wook, Male,https://i.mydramalist.com/pzon8_5c.jpg,Goo Ra Ra
124,Do You Like Brahms?,8.1, #781, #511,Park Eun Bin, Female,https://i.mydramalist.com/WAPAXc.jpg,Park Joon Young
125,Do You Like Brahms?,8.1, #781, #511,Kim Min Jae, Male,https://i.mydramalist.com/w7qyA_5c.jpg,Chae Song Ah
126,Doctor John,8.5, #214, #300,Lee Se Young, Female,https://i.mydramalist.com/jgO1B_5c.jpg,Kang Shi Young
127,Doctor John,8.5, #214, #300,Ji Sung, Male,https://i.mydramalist.com/XrQXXc.jpg,Cha Yo Han
128,Doctor Stranger,7.9, #1489, #52,Jin Se Yeon, Female,https://i.mydramalist.com/vzjEW_5c.jpg,Song Jae Hee / Han Seung Hee
129,Doctor Stranger,7.9, #1489, #52,Lee Jong Suk, Male,https://i.mydramalist.com/XbzDnc.jpg,Park Hoon
130,Doctors,7.8, #1604, #54,Kim Rae Won, Male,https://i.mydramalist.com/vEpkg_5c.jpg,Professor Hong Ji Hong
131,Doctors,7.8, #1604, #54,Park Shin Hye, Female,https://i.mydramalist.com/pYK4r_5c.jpg,Dr. Yoo Hye Jung
132,Dong Yi,8.4, #291, #634,Han Hyo Joo, Female,https://i.mydramalist.com/BoB0z_5c.jpg,King Suk Jong
133,Dong Yi,8.4, #291, #634,Ji Jin Hee, Male,https://i.mydramalist.com/43jwQc.jpg,Dong Yi / Choi Suk Bin
134,Dramaworld,7.1, #4114, #713,Sean Richard , Male,https://i.mydramalist.com/XrklZc.jpg,Joon Park
135,Dramaworld,7.1, #4114, #713,Liv Hewson, Female,https://i.mydramalist.com/WzOwm_5c.jpg,Claire Duncan
136,Dream High,8.0, #999, #33,Kim Soo Hyun, Male,https://i.mydramalist.com/WonJO_5c.jpg,Go Hye Mi
137,Dream High,8.0, #999, #33,Bae Suzy, Female,https://i.mydramalist.com/pOqyQc.jpg,Song Sam Dong
138,Dream High 2,6.8, #4441, #135,Jung Jin Woon, Male,https://i.mydramalist.com/Y8Y4ec.jpg,Shin Hae Sung
139,Dream High 2,6.8, #4441, #135,Kang So Ra, Female,https://i.mydramalist.com/w2dQYc.jpg,Jin Yoo Jin
140,Dream Knight,7.4, #3444, #349,JB, Male,https://i.mydramalist.com/WgZBX_5c.jpg,Joo In Hyung
141,Dream Knight,7.4, #3444, #349,Song  Ha Yoon, Female,https://i.mydramalist.com/pv0N8c.jpg,[Himself]
142,Drinking Solo,7.7, #2010, #471,Ha Seok Jin, Male,https://i.mydramalist.com/1Aoeb_5c.jpg,Professor Jin Jung Seok
143,Drinking Solo,7.7, #2010, #471,Park Ha Sun, Female,https://i.mydramalist.com/4YeqK_5c.jpg,Professora Park Ha Na
144,EXO Next Door,7.7, #1985, #122,Park Chan Yeol, Male,https://i.mydramalist.com/EoQrl_5c.jpg,Himself
145,EXO Next Door,7.7, #1985, #122,Moon Ga Young, Female,https://i.mydramalist.com/BynQl_5c.jpg,Ji Yeon Hee
146,Emergency Couple,8.0, #1135, #82,Song Ji Hyo, Female,https://i.mydramalist.com/xYozyc.jpg,Oh Chang Min
147,Emergency Couple,8.0, #1135, #82,Choi Jin Hyuk, Male,https://i.mydramalist.com/xYDEzc.jpg,Oh Jin Hee
148,Empress Ki,8.6, #131, #148,Ha Ji Won, Female,https://i.mydramalist.com/E2eb5c.jpg,Emperor Toghon Temur / Ta Hwan
149,Empress Ki,8.6, #131, #148,Ji Chang Wook, Male,https://i.mydramalist.com/jAOovc.jpg,Empress Ki Yang / Ki Seung Nyang
150,Encounter,8.1, #863, #226,Park Bo Gum, Male,https://i.mydramalist.com/p3Qx8_5c.jpg,Cha Soo Hyun
151,Encounter,8.1, #863, #226,Song Hye Kyo, Female,https://i.mydramalist.com/Qrn7v_5c.jpg,Kim Jin Hyuk
152,Extraordinary You,8.4, #280, #62,Ro Woon, Male,https://i.mydramalist.com/qw7m0c.jpg,Eun Dan Oh
153,Extraordinary You,8.4, #280, #62,Kim Hye Yoon, Female,https://i.mydramalist.com/pVvDE_5c.jpg,"Ha Ru / ""Number 13"""
154,Faith,8.1, #779, #89,Lee Min Ho, Male,https://i.mydramalist.com/kEpQwc.jpg,Dr. Yoo Eun Soo
155,Faith,8.1, #779, #89,Kim Hee Sun, Female,https://i.mydramalist.com/4NAmK_5c.jpg,General Choi Yeong
156,Falling for Innocence,8.2, #582, #154,Jung Kyung Ho, Male,https://i.mydramalist.com/EyqBz_5c.jpg,"Kang Min Ho / James Kang / ""Captain Hook"""
157,Falling for Innocence,8.2, #582, #154,Kim So Yeon, Female,https://i.mydramalist.com/jxYeJ_5c.jpg,Kim Soon Jung
158,Familiar Wife,8.1, #832, #443,Ji Sung, Male,https://i.mydramalist.com/XrQXXc.jpg,Cha Joo Hyuk
159,Familiar Wife,8.1, #832, #443,Han Ji Min, Female,https://i.mydramalist.com/jeLxb_5c.jpg,Seo Woo Jin
160,Fated to Love You,8.2, #616, #64,Jang Na Ra, Female,https://i.mydramalist.com/ZrBJkc.jpg,Kim Mi Young
161,Fated to Love You,8.2, #616, #64,Jang Hyuk, Male,https://i.mydramalist.com/01XN7c.jpg,Lee Gun
162,Feel Good To Die,7.8, #1563, #1063,Kang Ji Hwan, Male,https://i.mydramalist.com/j2rRbc.jpg,Lee Roo Da
163,Feel Good To Die,7.8, #1563, #1063,Baek Jin Hee, Female,https://i.mydramalist.com/vqJRec.jpg,Baek Jin Sang
164,Fight For My Way,8.5, #194, #25,Kim Ji Won, Female,https://i.mydramalist.com/vqA4Bc.jpg,Choi Ae Ra
165,Fight For My Way,8.5, #194, #25,Park Seo Joon, Male,https://i.mydramalist.com/j8meyc.jpg,Ko Dong Man
166,Find Me in Your Memory,8.2, #541, #364,Kim Dong Wook, Male,https://i.mydramalist.com/R4bVE_5c.jpg,Lee Jung Hoon
167,Find Me in Your Memory,8.2, #541, #364,Moon Ga Young, Female,https://i.mydramalist.com/BynQl_5c.jpg,"Yeo Ha Jin / ""Ha Na"""
168,Five Enough,8.3, #495, #980,So Yoo Jin, Female,https://i.mydramalist.com/g4X0Oc.jpg,Ahn Mi Jung
169,Five Enough,8.3, #495, #980,Ahn Jae Wook, Male,https://i.mydramalist.com/RQNkY_5c.jpg,Lee Sang Tae
170,Flower Boy Next Door,7.6, #2428, #57,Park Shin Hye, Female,https://i.mydramalist.com/pYK4r_5c.jpg,Enrique Geum
171,Flower Boy Next Door,7.6, #2428, #57,Yoon Shi Yoon, Male,https://i.mydramalist.com/43zLwc.jpg,Go Dok Mi
172,Flower Boy Ramen Shop,7.4, #3362, #102,Jung Il Woo, Male,https://i.mydramalist.com/Bx8oAc.jpg,Cha Chi Soo
173,Flower Boy Ramen Shop,7.4, #3362, #102,Lee Chung Ah, Female,https://i.mydramalist.com/0ldqK_5c.jpg,Yang Eun Bi
174,Flower Crew: Joseon Marriage Agency,7.7, #1900, #741,Gong Seung Yeon, Female,https://i.mydramalist.com/jYwqJ_5c.jpg,Gae Ddong / Yoon Su Yeon
175,Flower Crew: Joseon Marriage Agency,7.7, #1900, #741,Kim Min Jae, Male,https://i.mydramalist.com/w7qyA_5c.jpg,Ma Hoon
176,Flower of Evil,9.1, #4, #104,Lee Joon Gi, Male,https://i.mydramalist.com/67r8d_5c.jpg,Baek Hee Sung / Do Hyun Soo
177,Flower of Evil,9.1, #4, #104,Moon Chae Won, Female,https://i.mydramalist.com/pRJqe_5c.jpg,Cha Ji Won
178,Forest,7.8, #1636, #595,Jo Bo Ah, Female,https://i.mydramalist.com/v32qe_5c.jpg,Jung Young Jae
179,Forest,7.8, #1636, #595,Park Hae Jin, Male,https://i.mydramalist.com/BwX6qc.jpg,Kang San Hyuk
180,Full House Take 2,7.2, #3876, #399,Hwang Jung Eum, Female,https://i.mydramalist.com/232Lwc.jpg,Jang Man Ok / Jang Michelle
181,Full House Take 2,7.2, #3876, #399,Noh Min Woo, Male,https://i.mydramalist.com/kWDnkc.jpg,Lee Tae Ik
182,Go Back Couple,8.6, #117, #199,Jang Na Ra, Female,https://i.mydramalist.com/ZrBJkc.jpg,Choi Ban Do
183,Go Back Couple,8.6, #117, #199,Son Ho Jun, Male,https://i.mydramalist.com/BNjpR_5c.jpg,Ma Jin Joo
184,Go Ho's Starry Night,8.2, #566, #296,Kim Young Kwang, Male,https://i.mydramalist.com/QNxJQc.jpg,Go Ho
185,Go Ho's Starry Night,8.2, #566, #296,Kwon Yu Ri, Female,https://i.mydramalist.com/xQpp0c.jpg,Kang Tae Ho / Park Kwang Soo
186,Goblin,8.9, #33, #1,Gong Yoo, Male,https://i.mydramalist.com/XKLRxc.jpg,Kim Shin
187,Goblin,8.9, #33, #1,Kim Go Eun, Female,https://i.mydramalist.com/rg14N_5c.jpg,Ji Eun Tak
188,Good Doctor,8.3, #347, #127,Moon Chae Won, Female,https://i.mydramalist.com/pRJqe_5c.jpg,Cha Yoon Su
189,Good Doctor,8.3, #347, #127,Joo Won, Male,https://i.mydramalist.com/wrJg1_5c.jpg,Park Shi On
190,Gu Family Book,8.3, #365, #107,Bae Suzy, Female,https://i.mydramalist.com/pOqyQc.jpg,Dam Yeo Wool
191,Gu Family Book,8.3, #365, #107,Lee Seung Gi, Male,https://i.mydramalist.com/B3RRqc.jpg,Choi Kang Chi
192,Gunman In Joseon,7.6, #2282, #747,Nam Sang Mi, Female,https://i.mydramalist.com/dB82b_5c.jpg,Jung Soo In
193,Gunman In Joseon,7.6, #2282, #747,Lee Joon Gi, Male,https://i.mydramalist.com/67r8d_5c.jpg,Park Yoon Kang
194,Haechi,8.0, #1072, #1157,Go Ah Ra, Female,https://i.mydramalist.com/ejKbK_5c.jpg,Chun Yeo Ji
195,Haechi,8.0, #1072, #1157,Jung Il Woo, Male,https://i.mydramalist.com/Bx8oAc.jpg,Yi Geum / Prince Yeo Ning
196,He Is Psychometric,8.4, #332, #78,Shin Ye Eun, Female,https://i.mydramalist.com/25K5V_5c.jpg,Yoon Jae In
197,He Is Psychometric,8.4, #332, #78,Park Jin Young, Male,https://i.mydramalist.com/dvozdc.jpg,Lee Ahn
198,Healer,8.9, #25, #10,Park Min Young, Female,https://i.mydramalist.com/qlep0_5c.jpg,Chae Yeong Shin / Oh Ji An
199,Healer,8.9, #25, #10,Ji Chang Wook, Male,https://i.mydramalist.com/jAOovc.jpg,"Seo Jung Hoo / Park Bong Soo / ""Healer"""
