,Unnamed: 0,Title,Ratings,Ranked,Popularity,Actor 1,Name,Info,Info1,Info2,Info3,Info4,Info5,Info6,Image
23,23,7 First Kisses,6.9, #4427, #169,Lee Cho Hee,Lee Cho Hee, Lee, 이초희, South Korean, Female," October  4, 1989", 31,,https://i.mydramalist.com/jYN6d_5c.jpg
24,24,72 Seconds: Season 2,7.4, 15+ - Teens 15 or older, 36,Pyo Ye Jin,Pyo Ye Jin, Pyo, 표예진, South Korean, Female," February  2, 1992", 29,,https://i.mydramalist.com/p8LmQc.jpg
25,25,72 Seconds: Season 2,7.4, 15+ - Teens 15 or older, 36,Jang Hee Ryung,Jang Hee Ryung, Jang, 장희령, Jang Hui Ryoung;Jang Hee Ryeong;Jang Hui Ryeong, South Korean, Female," November 11, 1993", 27,https://i.mydramalist.com/kd6Bk_5c.jpg
26,26,72 Seconds: Season 3,7.7, 15+ - Teens 15 or older, 38,Pyo Ye Jin,Pyo Ye Jin, Pyo, 표예진, South Korean, Female," February  2, 1992", 29,,https://i.mydramalist.com/p8LmQc.jpg
27,27,72 Seconds: Season 3,7.7, 15+ - Teens 15 or older, 38,Jang Hee Ryung,Jang Hee Ryung, Jang, 장희령, Jang Hui Ryoung;Jang Hee Ryeong;Jang Hui Ryeong, South Korean, Female," November 11, 1993", 27,https://i.mydramalist.com/kd6Bk_5c.jpg
28,28,7th Grade Civil Servant,6.9, #4405, #632,Joo Won,Joo Won, Moon, 주원, 문준원;Mun Jun Won;Ju Won, South Korean, Male," September 30, 1987", 33,https://i.mydramalist.com/wrJg1_5c.jpg
29,29,7th Grade Civil Servant,6.9, #4405, #632,Choi Kang Hee,Choi Kang Hee, Choi, 최강희, Choi Gang Hee;Choi Kang Hui;최세연;Choe Kang Hee;Choe Gang Hee;Choe Kang Hui;Choe Gang Hui;Choi Gang Hui;Choi Se Yeon;Choe Se Yeon;Choe Se Yun, South Korean, Female," May  5, 1977", 43,https://i.mydramalist.com/dBjrW_5c.jpg
30,30,9 Seconds: Eternal Time,7.5, #2893, #1671,Lee Joo Seung,Lee Joo Seung, Lee, 이주승, Yi Ju Seung; Lee Ju Seung;, South Korean, Male," July 20, 1989", 31,https://i.mydramalist.com/kWqZkc.jpg
31,31,9 Seconds: Eternal Time,7.5, #2893, #1671,Na Hae Ryung,Na Hae Ryung, Na, 나해령, Hae Ryung ; Na Hae Ryeong, South Korean, Female," November 11, 1994", 26,https://i.mydramalist.com/EQO2m_5c.jpg
32,32,A Beautiful Mind,8.3, #491, #265,Park So Dam,Park So Dam, Park, 박소담, South Korean, Female," September  8, 1991", 29,,https://i.mydramalist.com/1qm06c.jpg
