,Unnamed: 0,pair,actor1,actor2,lineCount,score,actor1match,actor2match
40,40,"('JooJiHoon', 'KimHyeSoo')",JooJiHoon,KimHyeSoo,10,0.2845238095238095,nan,NamKiAe
41,41,"('ShinMinAh', 'LeeSeungGi')",ShinMinAh,LeeSeungGi,8,0.2837121212121212,ParkYooNa,nan
42,42,"('JunJiHyun', 'KimSooHyun')",JunJiHyun,KimSooHyun,12,0.2821138211382113,nan,nan
43,43,"('HanGiChan', 'JangEuiSoo')",HanGiChan,JangEuiSoo,6,0.2766666666666666,nan,nan
44,44,"('KimDongWook', 'MoonGaYoung')",KimDongWook,MoonGaYoung,11,0.2761274509803921,OhManSuk,nan
45,45,"('Rain', 'Krystal')",Rain,Krystal,9,0.2734375,"[[[['WiHaJoon', 'KimJaeWon'], 'KangKiYoung'], 'YoonSangHoon'], 'YoonPark']","[['ParkJiHyun', 'LeeElijah'], 'JeonYeoBin']"
46,46,"('KimJaeWook', 'ParkMinYoung')",KimJaeWook,ParkMinYoung,17,0.2728142857142856,NamgoongMin,"['ParkJooMi', 'Eugene']"
47,47,"('MoonChaeWon', 'ParkShiHoo')",MoonChaeWon,ParkShiHoo,5,0.2683197049863717,"['HongSeoYoung', 'OhHyunKyung']",nan
48,48,"('GongHyoJin', 'JoInSung')",GongHyoJin,JoInSung,16,0.267517006802721,nan,KimSungJoo
49,49,"('SongHyeKyo', 'SongJoongKi')",SongHyeKyo,SongJoongKi,13,0.2666532258064515,nan,"[[['KimJungHoon', 'ChoiByungChan'], 'MinHyoGi'], 'ZuHo']"
50,50,"('JiChangWook', 'NamJiHyun')",JiChangWook,NamJiHyun,13,0.2651315789473684,LeeSooHyuk,"[['KimJaeKyung', 'ParkSoonChun'], 'KimMinJung']"
51,51,"('ShinSeKyung', 'ParkYooChun')",ShinSeKyung,ParkYooChun,8,0.2599731182795699,"[[[[['BaeDaBin', 'YoonSoHee'], 'JeonSoMin'], 'LeeRuby'], 'BaeSuzy'], 'Yura']","['LeeSeungJun', 'BaeInHyuk']"
52,52,"('SeoInGuk', 'JungSoMin')",SeoInGuk,JungSoMin,10,0.2595052083333333,"[['GuWon', 'Ryeoun'], 'KimJaeYoung']",nan
53,53,"('ParkBoYoung', 'AhnHyoSeop')",ParkBoYoung,AhnHyoSeop,6,0.2584102934102934,NaHaeRyung,"['KimJinKwon', 'ShimHeeSub']"
54,54,"('KimJiWon', 'JiChangWook')",KimJiWon,JiChangWook,7,0.2536805555555556,nan,LeeSooHyuk
55,55,"('KwonNaRa', 'ParkSeoJoon')",KwonNaRa,ParkSeoJoon,6,0.2529411764705882,"[[[['JungYooJin', 'JungHyeSung'], 'LeeHaNa'], 'JiWoo'], 'YooSoYoung']",ChoiTaeJoon
56,56,"('RoWoon', 'KimHyeYoon')",RoWoon,KimHyeYoon,12,0.2525738536155202,nan,AhnJiHyun
57,57,"('KimSooHyun', 'SeoYeJi')",KimSooHyun,SeoYeJi,35,0.248991457787754,nan,GoSungHee
58,58,"('LeeJoonGi', 'MoonChaeWon')",LeeJoonGi,MoonChaeWon,16,0.2440920398009949,HwiYoung,"['HongSeoYoung', 'OhHyunKyung']"
59,59,"('LeeJongSuk', 'ParkShinHye')",LeeJongSuk,ParkShinHye,19,0.2436612654320988,nan,nan
60,60,"('GongSeungYeon', 'LeeJongHyun')",GongSeungYeon,LeeJongHyun,7,0.2434920634920634,"[['HanSoHee', 'RyuHyunKyung'], 'MoonSoRi']","[['YeoJinGoo', 'LeePilMo'], 'MoonYongSuk']"
