Title,Ratings,Ranked,Popularity,Actor 1,URL 1,Actor 2,URL 2
Flower of Evil,9.1, #4, #104,Lee Joon Gi,/people/207-lee-joon-gi,Moon Chae Won,/people/1220-moon-chae-won
The Great Seducer,7.7, #2227, #105,Woo Do Hwan,/people/11745-woo-do-hwan,Joy,/people/11862-joy
King2Hearts,8.3, #492, #112,Lee Seung Gi,/people/387-lee-seung-gi,Ha Ji Won,/people/187-ha-ji-won
School 2017,8.2, #639, #108,Kim Se Jeong,/people/13855-kim-se-jung,Kim Jung Hyun,/people/11840-kim-jung-hyun
49 Days,8.3, #438, #123,Lee Yo Won,/people/339-lee-yo-won,Nam Gyu Ri,/people/533-nam-gyu-ri
Lie to Me,7.5, #3098, #120,Yoon Eun Hye,/people/250-yoon-eun-hye,Kang Ji Hwan,/people/252-kang-ji-hwan
The Girl Who Sees Scents,7.9, #1237, #121,Park Yoo Chun,/people/429-park-yoo-chun,Shin Se Kyung,/people/993-shin-se-kyung
Start-Up,8.1, #798, #116,Bae Suzy,/people/422-suzy,Nam Joo Hyuk,/people/7714-nam-joo-hyuk
EXO Next Door,7.7, #1985, #122,Park Chan Yeol,/people/7576-park-chan-yeol,Moon Ga Young,/people/5346-moon-ga-young
Gu Family Book,8.3, #365, #107,Lee Seung Gi,/people/387-lee-seung-gi,Bae Suzy,/people/422-suzy
Something in the Rain,7.9, #1245, #111,Son Ye Jin,/people/293-son-ye-jin,Jung Hae In,/people/6834-jung-hae-in
You're All Surrounded,8.2, #577, #124,Lee Seung Gi,/people/387-lee-seung-gi,Go Ah Ra,/people/1287-go-ah-ra
Mr. Sunshine,8.9, #32, #115,Lee Byung Hun,/people/324-lee-byung-hun,Kim Tae Ri,/people/8838-kim-tae-ri
Dr. Romantic,8.7, #83, #125,Han Seok Kyu,/people/968-han-seok-kyu,Yoo Yeon Seok,/people/1908-yoo-yeon-seok
Black,8.1, #747, #128,Song Seung Heon,/people/535-song-seung-heon,Go Ah Ra,/people/1287-go-ah-ra
Dream High 2,6.8, #4441, #135,Kang So Ra,/people/1155-kang-so-ra,Jung Jin Woon,/people/1767-jung-jin-woon
Love Rain,7.6, #2398, #126,Jang Geun Suk,/people/201-jang-geun-suk,Im Yoon Ah,/people/972-im-yoon-ah
Jealousy Incarnate,8.2, #659, #138,Jo Jung Suk,/people/1974-jo-jung-suk,Gong Hyo Jin,/people/807-gong-hyo-jin
Good Doctor,8.3, #347, #127,Joo Won,/people/396-joo-won,Moon Chae Won,/people/1220-moon-chae-won
Hi! School - Love On,7.6, #2399, #133,Kim Sae Ron,/people/822-kim-sae-ron,Nam Woo Hyun,/people/3922-nam-woo-hyun
Reply 1994,8.1, #825, #136,Go Ah Ra,/people/1287-go-ah-ra,Jung Woo,/people/5124-jung-woo
Tale of the Nine-Tailed,8.3, #455, #130,Lee Dong Wook,/people/274-lee-dong-wook,Jo Bo Ah,/people/2213-jo-bo-ah
When the Camellia Blooms,8.5, #183, #142,Gong Hyo Jin,/people/807-gong-hyo-jin,Kang Ha Neul,/people/3850-kang-ha-neul
The Smile Has Left Your Eyes,8.3, #392, #137,Seo In Guk,/people/2576-seo-in-guk,Jung So Min,/people/346-jung-so-min
My First First Love,7.9, #141, 15+ - Teens 15 or older,Kim Ji Soo,/people/9428-ji-soo,Jung Chae Yeon,/people/12424-jung-chae-yeon
Moorim School,7.6, #2296, #139,Lee Hyun Woo,/people/1487-lee-hyun-woo,Hong Bin,/people/7049-hong-bin
Protect the Boss,7.7, #2261, #144,Choi Kang Hee,/people/1142-choi-kang-hee,Ji Sung,/people/469-ji-sung
The Tale of Nokdu,8.4, #287, #145,Jang Dong Yoon,/people/12682-jang-dong-yoon,Kim So Hyun,/people/1851-kim-so-hyun
Big,7.0, #4254, #146,Gong Yoo,/people/440-gong-yoo,Lee Min Jung,/people/337-lee-min-jung
Search: WWW,8.5, #198, #143,Im Soo Jung,/people/283-im-soo-jung,Lee Da Hee,/people/1736-lee-da-hee
A Gentleman's Dignity,8.3, #442, #152,Jang Dong Gun,/people/883-jang-dong-gun,Kim Ha Neul,/people/403-kim-ha-neul
Come and Hug Me,8.4, #299, #147,Jang Ki Yong,/people/8226-jang-ki-yong,Jin Ki Joo,/people/10520-jin-ki-joo
Empress Ki,8.6, #131, #148,Ha Ji Won,/people/187-ha-ji-won,Ji Chang Wook,/people/806-ji-chang-wook
Falling for Innocence,8.2, #582, #154,Jung Kyung Ho,/people/698-jung-kyung-ho,Kim So Yeon,/people/609-kim-so-yeon
Something About 1 Percent,8.2, #531, #149,Ha Seok Jin,/people/618-ha-suk-jin,Jeon So Min,/people/1730-jun-so-min
Melting Me Softly,7.6, #2594, #156,Ji Chang Wook,/people/806-ji-chang-wook,Won Jin Ah,/people/15721-won-jin-ah
"That Winter, The Wind Blows",8.0, #1021, #151,Jo In Sung,/people/433-jo-in-sung,Song Hye Kyo,/people/294-song-hye-kyo
Orange Marmalade,6.8, #4480, #155,Kim Seol Hyun,/people/5290-kim-seol-hyun,Yeo Jin Goo,/people/1500-yeo-jin-goo
The Producers,7.6, #2569, #157,Cha Tae Hyun,/people/284-cha-tae-hyun,Gong Hyo Jin,/people/807-gong-hyo-jin
Secret,8.4, #298, #159,Ji Sung,/people/469-ji-sung,Hwang Jung Eum,/people/669-hwang-jung-eum
Tomorrow With You,8.0, #1075, #163,Lee Je Hoon,/people/1810-lee-je-hoon,Shin Min Ah,/people/282-shin-min-ah
Hit the Top,8.1, #705, #164,Yoon Shi Yoon,/people/395-yoon-shi-yoon,Lee Se Young,/people/4047-lee-se-young
100 Days My Prince,8.3, #354, #160,Do Kyung Soo,/people/6535-do-kyung-soo,Nam Ji Hyun,/people/1434-nam-ji-hyun
The Secret Life of My Secretary,8.1, #843, #171,Kim Young Kwang,/people/1944-kim-young-kwang,Jin Ki Joo,/people/10520-jin-ki-joo
Lawless Lawyer,8.3, #477, #167,Lee Joon Gi,/people/207-lee-joon-gi,Seo Ye Ji,/people/6516-seo-ye-ji
The Liar and His Lover,7.5, #2786, #166,Lee Hyun Woo,/people/1487-lee-hyun-woo,Joy,/people/11862-joy
"Hyde, Jekyll, Me",7.4, #3256, #176,Hyun Bin,/people/183-hyun-bin,Han Ji Min,/people/1225-han-ji-min
Mary Stayed Out All Night,7.1, #4119, #170,Jang Geun Suk,/people/201-jang-geun-suk,Moon Geun Young,/people/313-moon-geun-young
Clean With Passion For Now,7.8, #1804, #165,Yoon Kyun Sang,/people/3973-yoon-gyun-sang,Kim Yoo Jung,/people/1894-kim-yoo-jung
7 First Kisses,6.9, #4427, #169,Lee Cho Hee,/people/2881-lee-cho-hee,Choi Ji Woo,/people/557-choi-ji-woo
Radio Romance,7.6, #2504, #175,Kim So Hyun,/people/1851-kim-so-hyun,Yoon Doo Joon,/people/1608-yoon-doo-joon
The Greatest Love,8.1, #816, #183,Cha Seung Won,/people/488-cha-seung-won,Gong Hyo Jin,/people/807-gong-hyo-jin
The Scholar Who Walks the Night,7.8, #1579, #180,Lee Joon Gi,/people/207-lee-joon-gi,Lee Yoo Bi,/people/4165-lee-yoo-bi
My Princess,7.5, #3074, #186,Song Seung Heon,/people/535-song-seung-heon,Kim Tae Hee,/people/490-kim-tae-hee
Missing You,8.0, #1107, #181,Yoon Eun Hye,/people/250-yoon-eun-hye,Park Yoo Chun,/people/429-park-yoo-chun
"Noble, My Love",7.6, #2360, #184,Sung Hoon,/people/546-sung-hoon,Kim Jae Kyung,/people/2542-kim-jae-kyung
Birth of a Beauty,7.5, #2900, #188,Joo Sang Wook,/people/554-joo-sang-wook,Han Ye Seul,/people/1269-han-ye-seul
When the Weather Is Fine,8.3, #390, #198,Park Min Young,/people/430-park-min-young,Seo Kang Joon,/people/6214-seo-kang-joon
The Bridal Mask,8.6, #97, #187,Joo Won,/people/396-joo-won,Jin Se Yeon,/people/2121-jin-se-yeon
My Holo Love,8.2, #554, #189,Yoon Hyun Min,/people/5395-yoon-hyun-min,Go Sung Hee,/people/5293-go-sung-hee
Cunning Single Lady,7.8, #1500, #195,Lee Min Jung,/people/337-lee-min-jung,Joo Sang Wook,/people/554-joo-sang-wook
Arang and the Magistrate,7.9, #1207, #197,Lee Joon Gi,/people/207-lee-joon-gi,Shin Min Ah,/people/282-shin-min-ah
Age of Youth 2,8.5, #241, #206,Han Ye Ri,/people/4174-han-ye-ri,Han Seung Yeon,/people/5154-han-seung-yeon
High Society,7.3, #3731, #201,Uee,/people/213-uee,Sung Joon,/people/1137-sung-joon
Record of Youth,7.6, #2651, #200,Park Bo Gum,/people/4157-park-bo-gum,Park So Dam,/people/7706-park-so-dam
Beautiful Gong Shim,7.8, #1596, #193,Namgoong Min,/people/513-nam-goong-min,Bang Min Ah,/people/5313-bang-min-ah
Go Back Couple,8.6, #117, #199,Jang Na Ra,/people/668-jang-na-ra,Son Ho Jun,/people/3891-son-ho-jun
My Strange Hero,8.1, #745, #212,Yoo Seung Ho,/people/589-yoo-seung-ho,Jo Bo Ah,/people/2213-jo-bo-ah
Where Your Eyes Linger,8.2, #537, #210,Han Gi Chan,/people/24719-han-gi-chan,Jang Eui Soo,/people/20269-jang-eui-soo
Lucky Romance,7.8, #1626, #216,Hwang Jung Eum,/people/669-hwang-jung-eum,Ryu Joon Yeol,/people/9534-ryu-joon-yeol
Bride of the Century,7.9, #1374, #218,Yang  Jin Sung,/people/2790-yang-jin-sung,Lee Hong Ki,/people/211-lee-hong-ki
Remember: War of the Son,8.2, #525, #215,Yoo Seung Ho,/people/589-yoo-seung-ho,Park Sung Woong,/people/1742-park-sung-woong
Encounter,8.1, #863, #226,Song Hye Kyo,/people/294-song-hye-kyo,Park Bo Gum,/people/4157-park-bo-gum
Witch's Romance,8.0, #1052, #231,Uhm Jung Hwa,/people/632-uhm-jung-hwa,Park Seo Joon,/people/2195-park-seo-joon
Run On,8.5, #181, #217,Im Shi Wan,/people/1891-im-shi-wan,Shin Se Kyung,/people/993-shin-se-kyung
"Please Come Back, Mister",8.0, #1065, #233,Rain,/people/241-rain,Oh Yeon Seo,/people/1722-oh-yeon-seo
The World of the Married,8.6, #139, #243,Kim Hee Ae,/people/1278-kim-hee-ae,Park Hae Joon,/people/5537-park-hae-joon
Monstar,7.3, #3670, #229,Yong Jun Hyung,/people/2558-yong-jun-hyung,Ha Yeon Soo,/people/5122-ha-yeon-soo
Miss Hammurabi,8.2, #681, #247,Go Ah Ra,/people/1287-go-ah-ra,Kim Myung Soo,/people/1552-l
Rookie Historian Goo Hae Ryung,8.2, #544, #241,Shin Se Kyung,/people/993-shin-se-kyung,Cha Eun Woo,/people/10399-cha-eun-woo
One Spring Night,8.3, #411, #249,Jung Hae In,/people/6834-jung-hae-in,Han Ji Min,/people/1225-han-ji-min
Dr. Romantic 2,8.7, #62, #245,Han Seok Kyu,/people/968-han-seok-kyu,Ahn Hyo Seop,/people/11001-ahn-hyo-sub
Mr. Queen,9.0, #17, #253,Shin Hye Sun,/people/7194-shin-hye-sun,Kim Jung Hyun,/people/11840-kim-jung-hyun
Surplus Princess,7.3, #3678, #254,Jo Bo Ah,/people/2213-jo-bo-ah,Ohn Joo Wan,/people/925-ohn-joo-wan
Man to Man,7.8, #1708, #255,Park Hae Jin,/people/645-park-hae-jin,Kim Min Jung,/people/1235-kim-min-jung
Mask,8.1, #748, #251,Park Soo Ae,/people/312-soo-ae,Joo Ji Hoon,/people/251-joo-ji-hoon
Madame Antoine,7.4, #3459, #260,Sung Joon,/people/1137-sung-joon,Han Ye Seul,/people/1269-han-ye-seul
High School King of Savvy,7.7, #1872, #250,Seo In Guk,/people/2576-seo-in-guk,Lee  Ha Na ,/people/4071-lee-ha-na
A Beautiful Mind,8.3, #491, #265,Jang Hyuk,/people/181-jang-hyuk,Park So Dam,/people/7706-park-so-dam
Yong Pal,7.8, #1773, #266,Joo Won,/people/396-joo-won,Kim Tae Hee,/people/490-kim-tae-hee
Terius Behind Me,8.3, #385, #262,So Ji Sub,/people/493-so-ji-sub,Jung In Sun,/people/6361-jung-in-sun
My Father is Strange,8.6, #112, #282,Kim Yeong Cheol,/people/1873-kim-young-chul,Kim Hae Sook,/people/3568-kim-hae-sook
Where Stars Land,7.9, #1407, #268,Chae Soo Bin,/people/9225-chae-soo-bin,Lee Je Hoon,/people/1810-lee-je-hoon
Backstreet Rookie,7.7, #1919, #264,Ji Chang Wook,/people/806-ji-chang-wook,Kim Yoo Jung,/people/1894-kim-yoo-jung
Long Time No See,7.8, #1509, #279,Tak Woo Suk,/people/17217-tak-woo-suk,Yeon Seung Ho,/people/17468-yeon-seung-ho
The Lover,7.9, #1208, #271,Oh Jung Se,/people/4684-oh-jung-se,Ryu Hyun Kyung,/people/2813-ryu-hyun-kyung
Cruel City,8.6, #125, #261,Jung Kyung Ho,/people/698-jung-kyung-ho,Nam Gyu Ri,/people/533-nam-gyu-ri
Queen of the Ring,8.0, #1093, #286,Kim Seul Gi,/people/4837-kim-seul-gi,Ahn Hyo Seop,/people/11001-ahn-hyo-sub
18 Again,8.8, #44, #287,Kim Ha Neul,/people/403-kim-ha-neul,Yoon Sang Hyun,/people/188-yoon-sang-hyun
My Lovely Girl,6.8, #4490, #283,Rain,/people/241-rain,Krystal,/people/1637-krystal
"Hi Bye, Mama!",8.5, #247, #290,Kim Tae Hee,/people/490-kim-tae-hee,Lee Kyu Hyung,/people/12102-lee-kyu-hyung
About Time,7.4, #3180, #285,Lee Sung Kyung,/people/7660-lee-sung-kyung,Lee Sang Yoon,/people/694-lee-sang-yoon
Go Ho's Starry Night,8.2, #566, #296,Kwon Yu Ri,/people/1811-kwon-yoo-ri,Kim Young Kwang,/people/1944-kim-young-kwang
Arthdal Chronicles Part 1: The Children of Prophecy,8.5, #239, #292,Song Joong Ki,/people/431-song-joong-ki,Kim Ji Won,/people/1692-kim-ji-won
Scent of a Woman,8.0, #1014, #299,Kim Sun Ah,/people/487-kim-sun-ah,Lee Dong Wook,/people/274-lee-dong-wook
My First First Love 2,7.9, #297, 15+ - Teens 15 or older,Kim Ji Soo,/people/9428-ji-soo,Jung Chae Yeon,/people/12424-jung-chae-yeon
Bel Ami,6.7, #4596, #293,Jang Geun Suk,/people/201-jang-geun-suk,IU,/people/426-iu
The Princess's Man,8.5, #215, #294,Park Shi Hoo,/people/608-park-shi-hoo,Moon Chae Won,/people/1220-moon-chae-won
Moment at Eighteen,8.1, #746, #306,Ong Seong Wu,/people/15814-ong-sung-woo,Kim Hyang Gi ,/people/4097-kim-hyang-gi
Love with Flaws,7.7, #1844, #313,Oh Yeon Seo,/people/1722-oh-yeon-seo,Ahn Jae Hyun,/people/6555-ahn-jae-hyun
Doctor John,8.5, #214, #300,Ji Sung,/people/469-ji-sung,Lee Se Young,/people/4047-lee-se-young
The Hymn of Death,8.3, #443, #308,Lee Jong Suk,/people/900-lee-jong-suk,Shin Hye Sun,/people/7194-shin-hye-sun
Temperature of Love,7.5, #2793, #304,Seo Hyun Jin,/people/941-seo-hyun-jin,Yang Se Jong,/people/13727-yang-se-jong
Who Are You,7.6, #2294, #310,So Yi Hyun,/people/443-so-yi-hyun,Ok Taec Yeon,/people/423-ok-taec-yeon
Angel Eyes,7.5, #2941, #309,Gu Hye Seon,/people/231-gu-hye-seon,Lee Sang Yoon,/people/694-lee-sang-yoon
High-end Crush,7.8, #1694, #316,Jung Il Woo,/people/474-jung-il-woo,Jin Se Yeon,/people/2121-jin-se-yeon
Six Flying Dragons,8.8, #50, #318,Yoo Ah In,/people/432-yoo-ah-in,Kim Myung Min,/people/556-kim-myung-min
Prosecutor Princess,7.6, #2319, #315,Kim So Yeon,/people/609-kim-so-yeon,Park Shi Hoo,/people/608-park-shi-hoo
Do Do Sol Sol La La Sol,7.7, #1843, #324,Go Ah Ra,/people/1287-go-ah-ra,Lee Jae Wook,/people/22279-lee-jae-wook
