,Title,Ratings,Ranked,Popularity,Actor 1,URL 1,Actor 2,URL 2
67,Queen In Hyun's Man,8.5, #220, #79,Ji Hyun Woo,https://www.mydramalist.com/people/512-ji-hyun-woo,Yoo In Na,https://www.mydramalist.com/people/633-yoo-in-na
68,Emergency Couple,8.0, #1135, #82,Song Ji Hyo,https://www.mydramalist.com/people/273-song-ji-hyo,Choi Jin Hyuk,https://www.mydramalist.com/people/1328-choi-jin-hyuk
69,Memories of the Alhambra,8.1, #790, #81,Hyun Bin,https://www.mydramalist.com/people/183-hyun-bin,Park Shin Hye,https://www.mydramalist.com/people/210-park-shin-hye
70,Introverted Boss,7.9, #1228, #83,Yeon Woo Jin,https://www.mydramalist.com/people/1340-yeon-woo-jin,Park Hye Soo,https://www.mydramalist.com/people/10439-park-hye-soo
71,"Marriage, Not Dating",8.2, #643, #87,Yeon Woo Jin,https://www.mydramalist.com/people/1340-yeon-woo-jin,Han Groo,https://www.mydramalist.com/people/1555-han-groo
72,Shopping King Louie,8.2, #571, #88,Seo In Guk,https://www.mydramalist.com/people/2576-seo-in-guk,Nam Ji Hyun,https://www.mydramalist.com/people/1434-nam-ji-hyun
73,Thirty But Seventeen,8.5, #201, #90,Shin Hye Sun,https://www.mydramalist.com/people/7194-shin-hye-sun,Yang Se Jong,https://www.mydramalist.com/people/13727-yang-se-jong
74,The Beauty Inside,8.4, #325, #91,Seo Hyun Jin,https://www.mydramalist.com/people/941-seo-hyun-jin,Lee Min Ki,https://www.mydramalist.com/people/656-lee-min-ki
75,True Beauty,8.4, #260, #92,Moon Ga Young,https://www.mydramalist.com/people/5346-moon-ga-young,Cha Eun Woo,https://www.mydramalist.com/people/10399-cha-eun-woo
76,The Innocent Man,8.1, #731, #86,Moon Chae Won,https://www.mydramalist.com/people/1220-moon-chae-won,Song Joong Ki,https://www.mydramalist.com/people/431-song-joong-ki
77,Faith,8.1, #779, #89,Kim Hee Sun,https://www.mydramalist.com/people/978-kim-hee-sun,Lee Min Ho,https://www.mydramalist.com/people/232-lee-min-ho
78,Shut Up: Flower Boy Band,8.1, #791, #98,Sung Joon,https://www.mydramalist.com/people/1137-sung-joon,Jo Bo Ah,https://www.mydramalist.com/people/2213-jo-bo-ah
79,Angel's Last Mission: Love,8.5, #252, #93,Kim Myung Soo,https://www.mydramalist.com/people/1552-l,Shin Hye Sun,https://www.mydramalist.com/people/7194-shin-hye-sun
80,Prison Playbook,9.1, #11, #95,Park Hae Soo,https://www.mydramalist.com/people/2810-park-hae-soo,Jung Kyung Ho,https://www.mydramalist.com/people/698-jung-kyung-ho
81,Another Miss Oh,8.3, #460, #94,Eric Mun,https://www.mydramalist.com/people/1171-eric,Seo Hyun Jin,https://www.mydramalist.com/people/941-seo-hyun-jin
82,Hospital Playlist,9.1, #2, #97,Jo Jung Suk,https://www.mydramalist.com/people/1974-jo-jung-suk,Yoo Yeon Seok,https://www.mydramalist.com/people/1908-yoo-yeon-seok
83,Abyss,7.8, #1567, #96,Park Bo Young,https://www.mydramalist.com/people/1498-park-bo-young,Ahn Hyo Seop,https://www.mydramalist.com/people/11001-ahn-hyo-sub
84,Sungkyunkwan Scandal,8.2, #591, #99,Park Yoo Chun,https://www.mydramalist.com/people/429-park-yoo-chun,Park Min Young,https://www.mydramalist.com/people/430-park-min-young
85,Flower Boy Ramen Shop,7.4, #3362, #102,Jung Il Woo,https://www.mydramalist.com/people/474-jung-il-woo,Lee Chung Ah,https://www.mydramalist.com/people/961-lee-chung-ah
86,Chicago Typewriter,8.8, #49, #101,Yoo Ah In,https://www.mydramalist.com/people/432-yoo-ah-in,Im Soo Jung,https://www.mydramalist.com/people/283-im-soo-jung
87,Blood,7.4, #3248, #100,Ahn Jae Hyun,https://www.mydramalist.com/people/6555-ahn-jae-hyun,Gu Hye Seon,https://www.mydramalist.com/people/231-gu-hye-seon
88,Eulachacha Waikiki,8.6, #105, #109,Kim Jung Hyun,https://www.mydramalist.com/people/11840-kim-jung-hyun,Lee Yi Kyung,https://www.mydramalist.com/people/4754-lee-yi-kyung
89,Flower of Evil,9.1, #4, #104,Lee Joon Gi,https://www.mydramalist.com/people/207-lee-joon-gi,Moon Chae Won,https://www.mydramalist.com/people/1220-moon-chae-won
90,The Great Seducer,7.7, #2227, #105,Woo Do Hwan,https://www.mydramalist.com/people/11745-woo-do-hwan,Joy,https://www.mydramalist.com/people/11862-joy
91,King2Hearts,8.3, #492, #112,Lee Seung Gi,https://www.mydramalist.com/people/387-lee-seung-gi,Ha Ji Won,https://www.mydramalist.com/people/187-ha-ji-won
92,School 2017,8.2, #639, #108,Kim Se Jeong,https://www.mydramalist.com/people/13855-kim-se-jung,Kim Jung Hyun,https://www.mydramalist.com/people/11840-kim-jung-hyun
93,49 Days,8.3, #438, #123,Lee Yo Won,https://www.mydramalist.com/people/339-lee-yo-won,Nam Gyu Ri,https://www.mydramalist.com/people/533-nam-gyu-ri
94,Lie to Me,7.5, #3098, #120,Yoon Eun Hye,https://www.mydramalist.com/people/250-yoon-eun-hye,Kang Ji Hwan,https://www.mydramalist.com/people/252-kang-ji-hwan
95,The Girl Who Sees Scents,7.9, #1237, #121,Park Yoo Chun,https://www.mydramalist.com/people/429-park-yoo-chun,Shin Se Kyung,https://www.mydramalist.com/people/993-shin-se-kyung
96,Start-Up,8.1, #798, #116,Bae Suzy,https://www.mydramalist.com/people/422-suzy,Nam Joo Hyuk,https://www.mydramalist.com/people/7714-nam-joo-hyuk
97,EXO Next Door,7.7, #1985, #122,Park Chan Yeol,https://www.mydramalist.com/people/7576-park-chan-yeol,Moon Ga Young,https://www.mydramalist.com/people/5346-moon-ga-young
98,Gu Family Book,8.3, #365, #107,Lee Seung Gi,https://www.mydramalist.com/people/387-lee-seung-gi,Bae Suzy,https://www.mydramalist.com/people/422-suzy
99,Something in the Rain,7.9, #1245, #111,Son Ye Jin,https://www.mydramalist.com/people/293-son-ye-jin,Jung Hae In,https://www.mydramalist.com/people/6834-jung-hae-in
100,You're All Surrounded,8.2, #577, #124,Lee Seung Gi,https://www.mydramalist.com/people/387-lee-seung-gi,Go Ah Ra,https://www.mydramalist.com/people/1287-go-ah-ra
101,Mr. Sunshine,8.9, #32, #115,Lee Byung Hun,https://www.mydramalist.com/people/324-lee-byung-hun,Kim Tae Ri,https://www.mydramalist.com/people/8838-kim-tae-ri
102,Dr. Romantic,8.7, #83, #125,Han Seok Kyu,https://www.mydramalist.com/people/968-han-seok-kyu,Yoo Yeon Seok,https://www.mydramalist.com/people/1908-yoo-yeon-seok
103,Black,8.1, #747, #128,Song Seung Heon,https://www.mydramalist.com/people/535-song-seung-heon,Go Ah Ra,https://www.mydramalist.com/people/1287-go-ah-ra
104,Dream High 2,6.8, #4441, #135,Kang So Ra,https://www.mydramalist.com/people/1155-kang-so-ra,Jung Jin Woon,https://www.mydramalist.com/people/1767-jung-jin-woon
105,Love Rain,7.6, #2398, #126,Jang Geun Suk,https://www.mydramalist.com/people/201-jang-geun-suk,Im Yoon Ah,https://www.mydramalist.com/people/972-im-yoon-ah
106,Jealousy Incarnate,8.2, #659, #138,Jo Jung Suk,https://www.mydramalist.com/people/1974-jo-jung-suk,Gong Hyo Jin,https://www.mydramalist.com/people/807-gong-hyo-jin
107,Good Doctor,8.3, #347, #127,Joo Won,https://www.mydramalist.com/people/396-joo-won,Moon Chae Won,https://www.mydramalist.com/people/1220-moon-chae-won
108,Hi! School - Love On,7.6, #2399, #133,Kim Sae Ron,https://www.mydramalist.com/people/822-kim-sae-ron,Nam Woo Hyun,https://www.mydramalist.com/people/3922-nam-woo-hyun
109,Reply 1994,8.1, #825, #136,Go Ah Ra,https://www.mydramalist.com/people/1287-go-ah-ra,Jung Woo,https://www.mydramalist.com/people/5124-jung-woo
110,Tale of the Nine-Tailed,8.3, #455, #130,Lee Dong Wook,https://www.mydramalist.com/people/274-lee-dong-wook,Jo Bo Ah,https://www.mydramalist.com/people/2213-jo-bo-ah
111,When the Camellia Blooms,8.5, #183, #142,Gong Hyo Jin,https://www.mydramalist.com/people/807-gong-hyo-jin,Kang Ha Neul,https://www.mydramalist.com/people/3850-kang-ha-neul
112,The Smile Has Left Your Eyes,8.3, #392, #137,Seo In Guk,https://www.mydramalist.com/people/2576-seo-in-guk,Jung So Min,https://www.mydramalist.com/people/346-jung-so-min
113,My First First Love,7.9, #141, 15+ - Teens 15 or older,Kim Ji Soo,https://www.mydramalist.com/people/9428-ji-soo,Jung Chae Yeon,https://www.mydramalist.com/people/12424-jung-chae-yeon
114,Moorim School,7.6, #2296, #139,Lee Hyun Woo,https://www.mydramalist.com/people/1487-lee-hyun-woo,Hong Bin,https://www.mydramalist.com/people/7049-hong-bin
115,Protect the Boss,7.7, #2261, #144,Choi Kang Hee,https://www.mydramalist.com/people/1142-choi-kang-hee,Ji Sung,https://www.mydramalist.com/people/469-ji-sung
116,The Tale of Nokdu,8.4, #287, #145,Jang Dong Yoon,https://www.mydramalist.com/people/12682-jang-dong-yoon,Kim So Hyun,https://www.mydramalist.com/people/1851-kim-so-hyun
117,Big,7.0, #4254, #146,Gong Yoo,https://www.mydramalist.com/people/440-gong-yoo,Lee Min Jung,https://www.mydramalist.com/people/337-lee-min-jung
118,Search: WWW,8.5, #198, #143,Im Soo Jung,https://www.mydramalist.com/people/283-im-soo-jung,Lee Da Hee,https://www.mydramalist.com/people/1736-lee-da-hee
119,A Gentleman's Dignity,8.3, #442, #152,Jang Dong Gun,https://www.mydramalist.com/people/883-jang-dong-gun,Kim Ha Neul,https://www.mydramalist.com/people/403-kim-ha-neul
120,Come and Hug Me,8.4, #299, #147,Jang Ki Yong,https://www.mydramalist.com/people/8226-jang-ki-yong,Jin Ki Joo,https://www.mydramalist.com/people/10520-jin-ki-joo
121,Empress Ki,8.6, #131, #148,Ha Ji Won,https://www.mydramalist.com/people/187-ha-ji-won,Ji Chang Wook,https://www.mydramalist.com/people/806-ji-chang-wook
122,Falling for Innocence,8.2, #582, #154,Jung Kyung Ho,https://www.mydramalist.com/people/698-jung-kyung-ho,Kim So Yeon,https://www.mydramalist.com/people/609-kim-so-yeon
123,Something About 1 Percent,8.2, #531, #149,Ha Seok Jin,https://www.mydramalist.com/people/618-ha-suk-jin,Jeon So Min,https://www.mydramalist.com/people/1730-jun-so-min
124,Melting Me Softly,7.6, #2594, #156,Ji Chang Wook,https://www.mydramalist.com/people/806-ji-chang-wook,Won Jin Ah,https://www.mydramalist.com/people/15721-won-jin-ah
125,"That Winter, The Wind Blows",8.0, #1021, #151,Jo In Sung,https://www.mydramalist.com/people/433-jo-in-sung,Song Hye Kyo,https://www.mydramalist.com/people/294-song-hye-kyo
126,Orange Marmalade,6.8, #4480, #155,Kim Seol Hyun,https://www.mydramalist.com/people/5290-kim-seol-hyun,Yeo Jin Goo,https://www.mydramalist.com/people/1500-yeo-jin-goo
127,The Producers,7.6, #2569, #157,Cha Tae Hyun,https://www.mydramalist.com/people/284-cha-tae-hyun,Gong Hyo Jin,https://www.mydramalist.com/people/807-gong-hyo-jin
128,Secret,8.4, #298, #159,Ji Sung,https://www.mydramalist.com/people/469-ji-sung,Hwang Jung Eum,https://www.mydramalist.com/people/669-hwang-jung-eum
129,Tomorrow With You,8.0, #1075, #163,Lee Je Hoon,https://www.mydramalist.com/people/1810-lee-je-hoon,Shin Min Ah,https://www.mydramalist.com/people/282-shin-min-ah
130,Hit the Top,8.1, #705, #164,Yoon Shi Yoon,https://www.mydramalist.com/people/395-yoon-shi-yoon,Lee Se Young,https://www.mydramalist.com/people/4047-lee-se-young
131,100 Days My Prince,8.3, #354, #160,Do Kyung Soo,https://www.mydramalist.com/people/6535-do-kyung-soo,Nam Ji Hyun,https://www.mydramalist.com/people/1434-nam-ji-hyun
132,The Secret Life of My Secretary,8.1, #843, #171,Kim Young Kwang,https://www.mydramalist.com/people/1944-kim-young-kwang,Jin Ki Joo,https://www.mydramalist.com/people/10520-jin-ki-joo
133,Lawless Lawyer,8.3, #477, #167,Lee Joon Gi,https://www.mydramalist.com/people/207-lee-joon-gi,Seo Ye Ji,https://www.mydramalist.com/people/6516-seo-ye-ji
134,The Liar and His Lover,7.5, #2786, #166,Lee Hyun Woo,https://www.mydramalist.com/people/1487-lee-hyun-woo,Joy,https://www.mydramalist.com/people/11862-joy
135,"Hyde, Jekyll, Me",7.4, #3256, #176,Hyun Bin,https://www.mydramalist.com/people/183-hyun-bin,Han Ji Min,https://www.mydramalist.com/people/1225-han-ji-min
136,Mary Stayed Out All Night,7.1, #4119, #170,Jang Geun Suk,https://www.mydramalist.com/people/201-jang-geun-suk,Moon Geun Young,https://www.mydramalist.com/people/313-moon-geun-young
137,Clean With Passion For Now,7.8, #1804, #165,Yoon Kyun Sang,https://www.mydramalist.com/people/3973-yoon-gyun-sang,Kim Yoo Jung,https://www.mydramalist.com/people/1894-kim-yoo-jung
138,7 First Kisses,6.9, #4427, #169,Lee Cho Hee,https://www.mydramalist.com/people/2881-lee-cho-hee,Choi Ji Woo,https://www.mydramalist.com/people/557-choi-ji-woo
139,Radio Romance,7.6, #2504, #175,Kim So Hyun,https://www.mydramalist.com/people/1851-kim-so-hyun,Yoon Doo Joon,https://www.mydramalist.com/people/1608-yoon-doo-joon
140,The Greatest Love,8.1, #816, #183,Cha Seung Won,https://www.mydramalist.com/people/488-cha-seung-won,Gong Hyo Jin,https://www.mydramalist.com/people/807-gong-hyo-jin
141,The Scholar Who Walks the Night,7.8, #1579, #180,Lee Joon Gi,https://www.mydramalist.com/people/207-lee-joon-gi,Lee Yoo Bi,https://www.mydramalist.com/people/4165-lee-yoo-bi
142,My Princess,7.5, #3074, #186,Song Seung Heon,https://www.mydramalist.com/people/535-song-seung-heon,Kim Tae Hee,https://www.mydramalist.com/people/490-kim-tae-hee
143,Missing You,8.0, #1107, #181,Yoon Eun Hye,https://www.mydramalist.com/people/250-yoon-eun-hye,Park Yoo Chun,https://www.mydramalist.com/people/429-park-yoo-chun
144,"Noble, My Love",7.6, #2360, #184,Sung Hoon,https://www.mydramalist.com/people/546-sung-hoon,Kim Jae Kyung,https://www.mydramalist.com/people/2542-kim-jae-kyung
145,Birth of a Beauty,7.5, #2900, #188,Joo Sang Wook,https://www.mydramalist.com/people/554-joo-sang-wook,Han Ye Seul,https://www.mydramalist.com/people/1269-han-ye-seul
146,When the Weather Is Fine,8.3, #390, #198,Park Min Young,https://www.mydramalist.com/people/430-park-min-young,Seo Kang Joon,https://www.mydramalist.com/people/6214-seo-kang-joon
147,The Bridal Mask,8.6, #97, #187,Joo Won,https://www.mydramalist.com/people/396-joo-won,Jin Se Yeon,https://www.mydramalist.com/people/2121-jin-se-yeon
148,My Holo Love,8.2, #554, #189,Yoon Hyun Min,https://www.mydramalist.com/people/5395-yoon-hyun-min,Go Sung Hee,https://www.mydramalist.com/people/5293-go-sung-hee
149,Cunning Single Lady,7.8, #1500, #195,Lee Min Jung,https://www.mydramalist.com/people/337-lee-min-jung,Joo Sang Wook,https://www.mydramalist.com/people/554-joo-sang-wook
150,Arang and the Magistrate,7.9, #1207, #197,Lee Joon Gi,https://www.mydramalist.com/people/207-lee-joon-gi,Shin Min Ah,https://www.mydramalist.com/people/282-shin-min-ah
151,Age of Youth 2,8.5, #241, #206,Han Ye Ri,https://www.mydramalist.com/people/4174-han-ye-ri,Han Seung Yeon,https://www.mydramalist.com/people/5154-han-seung-yeon
152,High Society,7.3, #3731, #201,Uee,https://www.mydramalist.com/people/213-uee,Sung Joon,https://www.mydramalist.com/people/1137-sung-joon
153,Record of Youth,7.6, #2651, #200,Park Bo Gum,https://www.mydramalist.com/people/4157-park-bo-gum,Park So Dam,https://www.mydramalist.com/people/7706-park-so-dam
