,Unnamed: 0,Unnamed: 0.1,pair,actor1,actor2,lineCount,score,actor1match,actor2match
37,37,37,"('LeeJongSuk', 'LeeNaYoung')",LeeJongSuk,LeeNaYoung,8,0.2944791666666666,,
38,38,38,"('ShinMinAh', 'SoJiSub')",ShinMinAh,SoJiSub,12,0.2902380952380952,ParkYooNa,SongChangEui
39,39,39,"('JooJiHoon', 'KimHyeSoo')",JooJiHoon,KimHyeSoo,10,0.2845238095238095,,"NamKiAe, NamKiAe"
40,40,40,"('LeeSeungGi', 'ShinMinAh')",LeeSeungGi,ShinMinAh,8,0.2837121212121212,,"ParkYooNa, ParkYooNa"
41,41,41,"('JunJiHyun', 'KimSooHyun')",JunJiHyun,KimSooHyun,12,0.2821138211382113,,
42,42,42,"('HanGiChan', 'JangEuiSoo')",HanGiChan,JangEuiSoo,6,0.2766666666666666,,
43,43,43,"('KimDongWook', 'MoonGaYoung')",KimDongWook,MoonGaYoung,11,0.2761274509803921,"OhManSuk, OhManSuk",
44,44,44,"('Krystal', 'Rain')",Krystal,Rain,9,0.2734375,"ParkJiHyun, LeeElijah, JeonYeoBin","WiHaJoon, KimJaeWon, KangKiYoung, YoonSangHoon, YoonPark"
45,45,45,"('KimJaeWook', 'ParkMinYoung')",KimJaeWook,ParkMinYoung,17,0.2728142857142856,"NamgoongMin, NamgoongMin","ParkJooMi, Eugene, ParkJooMi, Eugene"
46,46,46,"('MoonChaeWon', 'ParkShiHoo')",MoonChaeWon,ParkShiHoo,5,0.2683197049863717,"HongSeoYoung, OhHyunKyung",
47,47,47,"('GongHyoJin', 'JoInSung')",GongHyoJin,JoInSung,16,0.267517006802721,,KimSungJoo
48,48,48,"('SongHyeKyo', 'SongJoongKi')",SongHyeKyo,SongJoongKi,13,0.2666532258064515,,"KimJungHoon, ChoiByungChan, MinHyoGi, ZuHo"
49,49,49,"('JiChangWook', 'NamJiHyun')",JiChangWook,NamJiHyun,13,0.2651315789473684,"LeeSooHyuk, LeeSooHyuk","KimJaeKyung, ParkSoonChun, KimMinJung, KimJaeKyung, ParkSoonChun, KimMinJung"
50,50,50,"('ParkYooChun', 'ShinSeKyung')",ParkYooChun,ShinSeKyung,8,0.2599731182795699,"LeeSeungJun, BaeInHyuk, LeeSeungJun, BaeInHyuk","BaeDaBin, YoonSoHee, JeonSoMin, LeeRuby, BaeSuzy, Yura, BaeDaBin, YoonSoHee, JeonSoMin, LeeRuby, BaeSuzy, Yura"
51,51,51,"('JungSoMin', 'SeoInGuk')",JungSoMin,SeoInGuk,10,0.2595052083333333,,"GuWon, Ryeoun, KimJaeYoung"
52,52,52,"('AhnHyoSeop', 'ParkBoYoung')",AhnHyoSeop,ParkBoYoung,6,0.2584102934102934,"KimJinKwon, ShimHeeSub, KimJinKwon, ShimHeeSub","NaHaeRyung, NaHaeRyung"
53,53,53,"('JiChangWook', 'KimJiWon')",JiChangWook,KimJiWon,7,0.2536805555555556,"LeeSooHyuk, LeeSooHyuk",
54,54,54,"('KwonNaRa', 'ParkSeoJoon')",KwonNaRa,ParkSeoJoon,6,0.2529411764705882,"JungYooJin, JungHyeSung, LeeHaNa, JiWoo, YooSoYoung",ChoiTaeJoon
55,55,55,"('KimHyeYoon', 'RoWoon')",KimHyeYoon,RoWoon,12,0.2525738536155202,AhnJiHyun,
56,56,56,"('KimSooHyun', 'SeoYeJi')",KimSooHyun,SeoYeJi,35,0.248991457787754,,"GoSungHee, GoSungHee"
57,57,57,"('LeeJoonGi', 'MoonChaeWon')",LeeJoonGi,MoonChaeWon,16,0.2440920398009949,"HwiYoung, HwiYoung","HongSeoYoung, OhHyunKyung, HongSeoYoung, OhHyunKyung"
58,58,58,"('LeeJongSuk', 'ParkShinHye')",LeeJongSuk,ParkShinHye,19,0.2436612654320988,,
