,Actor,Least_Array_Diff,Best_Match_Actor,percentage_similarity
91,MoonJungHee,0.2902675271034241,HaJiWon,70.97324728965759
92,MoonSoRi,0.2659177780151367,GongSeungYeon,73.40822219848633
93,MoonYongSuk,0.3925933241844177,LeeJongHyun,60.74066758155823
94,N,0.2582353949546814,LeeMinKi,74.17646050453186
95,NaHaeRyung,0.3310503363609314,ParkBoYoung,66.89496636390686
96,NamKiAe,0.39804714918136597,KimHyeSoo,60.1952850818634
97,OhHyunKyung,0.31363511085510254,MoonChaeWon,68.63648891448975
98,OhManSuk,0.2956331968307495,KimDongWook,70.43668031692505
99,OhMinSuk,0.35896027088165283,SongKang,64.10397291183472
100,One,0.3794286847114563,ParkHaeJin,62.05713152885437
101,ParkGyuRi,0.2268088459968567,OhYeonSeo,77.31911540031433
102,ParkHaSun,0.363528847694397,KimSoHyun,63.6471152305603
103,ParkJiBin,0.324518620967865,JungHaeIn,67.5481379032135
104,ParkJiHoon,0.3455321788787842,SongKang,65.44678211212158
105,ParkJiHyun,0.24091267585754395,Krystal,75.9087324142456
106,ParkJooMi,0.2686103582382202,ParkMinYoung,73.13896417617798
107,ParkSoonChun,0.3471960425376892,NamJiHyun,65.28039574623108
108,ParkYooNa,0.2742041349411011,ShinMinAh,72.57958650588989
109,Ryeoun,0.330752432346344,SeoInGuk,66.9247567653656
110,RyuHyunKyung,0.323849081993103,GongSeungYeon,67.6150918006897
111,RyuJoonYeol,0.2866462469100952,WooDoHwan,71.33537530899048
112,SaHyunJin,0.2901798486709595,Uee,70.98201513290405
113,ShimHeeSub,0.3451195955276489,AhnHyoSeop,65.48804044723511
114,ShinDongMi,0.2966146469116211,SongJiHyo,70.33853530883789
115,SonWooHyun,0.37128180265426636,YeonSeungHo,62.871819734573364
116,SongChangEui,0.2858324646949768,SoJiSub,71.41675353050232
117,SungHyuk,0.35168778896331787,ChaSeungWon,64.83122110366821
118,WangJiHye,0.2579067349433899,OhYeonSeo,74.20932650566101
119,WiHaJoon,0.34351015090942383,Rain,65.64898490905762
120,WonHyungHoon,0.3112412691116333,SongKang,68.87587308883667
121,YangJinSung,0.3233163356781006,KimYooJung,67.66836643218994
122,YeomHyeRan,0.3992607593536377,HaJiWon,60.07392406463623
123,YeonJungHoon,0.3842173218727112,ChunJungMyung,61.57826781272888
124,YooInYoung,0.24422943592071533,ShinYeEun,75.57705640792847
125,YooSeoJin,0.3887980580329895,BangMinAh,61.12019419670105
126,YooSoYoung,0.3408053517341614,KwonNaRa,65.91946482658386
127,YookSungJae,0.2925427556037903,LeeMinKi,70.74572443962097
128,YoonDooJoon,0.27327126264572144,LeeSeoJin,72.67287373542786
129,YoonPark,0.28061819076538086,Rain,71.93818092346191
130,YoonSangHoon,0.2722824811935425,Rain,72.77175188064575
131,YoonSoHee,0.25142818689346313,ShinSeKyung,74.85718131065369
132,YoonYeJoo,0.3133382201194763,KimSoHyun,68.66617798805237
133,Yura,0.2932890057563782,ShinSeKyung,70.67109942436218
134,ZuHo,0.31074845790863037,SongJoongKi,68.92515420913696
