,pair,actor1,actor2,lineCount,score
63,"('OkTaecYeon', 'KimSoHyun')",OkTaecYeon,KimSoHyun,9,0.23419540229885058
64,"('SoJiSub', 'GongHyoJin')",SoJiSub,GongHyoJin,20,0.2341101953601954
65,"('ShinSeKyung', 'ImShiWan')",ShinSeKyung,ImShiWan,7,0.23409035409035403
66,"('HanGroo', 'YeonWooJin')",HanGroo,YeonWooJin,5,0.2294444444444444
67,"('TakWooSuk', 'YeonSeungHo')",TakWooSuk,YeonSeungHo,6,0.22777777777777775
68,"('LeeByungHun', 'KimTaeRi')",LeeByungHun,KimTaeRi,5,0.22760416666666666
69,"('ParkYooChun', 'HanJiMin')",ParkYooChun,HanJiMin,7,0.22586134453781512
70,"('JiChangWook', 'SongYoonAh')",JiChangWook,SongYoonAh,7,0.22500000000000003
71,"('JiSung', 'HanJiMin')",JiSung,HanJiMin,6,0.22083333333333335
72,"('GongYoo', 'KimGoEun')",GongYoo,KimGoEun,25,0.21895183360700593
73,"('SeoKangJoon', 'GongSeungYeon')",SeoKangJoon,GongSeungYeon,16,0.21750000000000003
74,"('HeoHyunJun', 'YooJun')",HeoHyunJun,YooJun,7,0.21642282196969695
75,"('KimSoHyun', 'SongKang')",KimSoHyun,SongKang,7,0.2159722222222223
76,"('ImSooJung', 'YooAhIn')",ImSooJung,YooAhIn,5,0.215340909090909
77,"('OhYeonSeo', 'LeeSeungGi')",OhYeonSeo,LeeSeungGi,10,0.21209876543209882
78,"('HwangJungEum', 'JiSung')",HwangJungEum,JiSung,10,0.20968468468468468
79,"('LeeJongSuk', 'LeeBoYoung')",LeeJongSuk,LeeBoYoung,12,0.2044602272727272
80,"('HanHyoJoo', 'LeeJongSuk')",HanHyoJoo,LeeJongSuk,18,0.20173007246376812
81,"('KimDaMi', 'ParkSeoJoon')",KimDaMi,ParkSeoJoon,7,0.196078431372549
82,"('YooSeungHo', 'ChaeSooBin')",YooSeungHo,ChaeSooBin,6,0.19395833333333337
83,"('LeeDongWook', 'JoBoAh')",LeeDongWook,JoBoAh,8,0.19204545454545455
84,"('JiChangWook', 'ImYoonAh')",JiChangWook,ImYoonAh,5,0.19166666666666665
85,"('ImSooJung', 'JangKiYong')",ImSooJung,JangKiYong,6,0.18679873054873045
86,"('BaeSuzy', 'LeeJongSuk')",BaeSuzy,LeeJongSuk,5,0.18540229885057471
87,"('ParkMinYoung', 'ParkSeoJoon')",ParkMinYoung,ParkSeoJoon,15,0.1853390242716085
88,"('LeeShiYoung', 'LeeDongWook')",LeeShiYoung,LeeDongWook,7,0.17079861111111108
