,pair,actor1,actor2,lineCount,score
63,"('GongHyoJin', 'SoJiSub')",GongHyoJin,SoJiSub,20,0.2341101953601954
64,"('ImShiWan', 'ShinSeKyung')",ImShiWan,ShinSeKyung,7,0.23409035409035403
65,"('HanGroo', 'YeonWooJin')",HanGroo,YeonWooJin,5,0.2294444444444444
66,"('TakWooSuk', 'YeonSeungHo')",TakWooSuk,YeonSeungHo,6,0.22777777777777775
67,"('KimTaeRi', 'LeeByungHun')",KimTaeRi,LeeByungHun,5,0.22760416666666666
68,"('HanJiMin', 'ParkYooChun')",HanJiMin,ParkYooChun,7,0.22586134453781512
69,"('JiChangWook', 'SongYoonAh')",JiChangWook,SongYoonAh,7,0.22500000000000003
70,"('HanJiMin', 'JiSung')",HanJiMin,JiSung,6,0.22083333333333335
71,"('GongYoo', 'KimGoEun')",GongYoo,KimGoEun,25,0.21895183360700593
72,"('GongSeungYeon', 'SeoKangJoon')",GongSeungYeon,SeoKangJoon,16,0.21750000000000003
73,"('HeoHyunJun', 'YooJun')",HeoHyunJun,YooJun,7,0.21642282196969695
74,"('ImSooJung', 'YooAhIn')",ImSooJung,YooAhIn,5,0.215340909090909
75,"('LeeSeungGi', 'OhYeonSeo')",LeeSeungGi,OhYeonSeo,10,0.21209876543209882
76,"('HwangJungEum', 'JiSung')",HwangJungEum,JiSung,10,0.20968468468468468
77,"('LeeBoYoung', 'LeeJongSuk')",LeeBoYoung,LeeJongSuk,12,0.2044602272727272
78,"('HanHyoJoo', 'LeeJongSuk')",HanHyoJoo,LeeJongSuk,18,0.20173007246376812
79,"('KimDaMi', 'ParkSeoJoon')",KimDaMi,ParkSeoJoon,7,0.196078431372549
80,"('ChaeSooBin', 'YooSeungHo')",ChaeSooBin,YooSeungHo,6,0.19395833333333337
81,"('JoBoAh', 'LeeDongWook')",JoBoAh,LeeDongWook,8,0.19204545454545455
82,"('ImYoonAh', 'JiChangWook')",ImYoonAh,JiChangWook,5,0.19166666666666665
83,"('ImSooJung', 'JangKiYong')",ImSooJung,JangKiYong,6,0.18679873054873045
84,"('KimSoHyun', 'SongKang')",KimSoHyun,SongKang,6,0.18626543209876545
85,"('BaeSuzy', 'LeeJongSuk')",BaeSuzy,LeeJongSuk,5,0.18540229885057471
86,"('ParkMinYoung', 'ParkSeoJoon')",ParkMinYoung,ParkSeoJoon,15,0.1853390242716085
87,"('LeeDongWook', 'LeeShiYoung')",LeeDongWook,LeeShiYoung,7,0.17079861111111108
88,"('NamJooHyuk', 'ShinSeKyung')",NamJooHyuk,ShinSeKyung,8,0.16765109890109892
89,"('HwangInYeop', 'MoonGaYoung')",HwangInYeop,MoonGaYoung,6,0.1619047619047619
90,"('LeeMinHo', 'ParkShinHye')",LeeMinHo,ParkShinHye,15,0.16127358490566038
91,"('SungJoon', 'Uee')",SungJoon,Uee,6,0.152536231884058
92,"('JunJiHyun', 'LeeMinHo')",JunJiHyun,LeeMinHo,6,0.15183982683982689
93,"('KimGoEun', 'LeeMinHo')",KimGoEun,LeeMinHo,12,0.1501157407407408
94,"('KimMyungSoo', 'ShinYeEun')",KimMyungSoo,ShinYeEun,5,0.11770833333333333
95,"('BaeSuzy', 'NamJooHyuk')",BaeSuzy,NamJooHyuk,22,0.1163023679417122
96,"('GoAhRa', 'ParkSeoJoon')",GoAhRa,ParkSeoJoon,6,0.10999999999999999
97,"('JoJungSuk', 'ParkBoYoung')",JoJungSuk,ParkBoYoung,8,0.10535714285714286
98,"('KimHeeAe', 'YooAhIn')",KimHeeAe,YooAhIn,5,0.09814814814814814
99,"('RoWoon', 'WonJinAh')",RoWoon,WonJinAh,7,0.047791005291005294
100,"('KimGoEun', 'ParkHaeJin')",KimGoEun,ParkHaeJin,8,0.02499999999999999
101,"('HanJiMin', 'JungHaeIn')",HanJiMin,JungHaeIn,7,0.014583333333333328
